Last_Name,Test1,Test2,Final,Grade,id,First_Name,Height,Weight,Age
Donachie,40.000000,90.000000,49.000000,D,1.000000,Adam,74.000000,180.000000,22.990000
Bako,41.000000,97.000000,48.000000,D,2.000000,Paul,74.000000,215.000000,34.690000
Hernandez,41.000000,80.000000,44.000000,C,3.000000,Ramon,72.000000,210.000000,30.780000
Millar,42.000000,23.000000,47.000000,B,4.000000,Kevin,72.000000,210.000000,35.430000
Gomez,43.000000,78.000000,45.000000,C,5.000000,Chris,73.000000,188.000000,35.710000
Roberts,44.000000,90.000000,46.000000,C,6.000000,Brian,69.000000,176.000000,29.390000
Tejada,45.000000,11.000000,43.000000,F,7.000000,Miguel,69.000000,209.000000,30.770000
Mora,46.000000,44.500000,50.000000,B,8.000000,Melvin,71.000000,200.000000,35.070000
Huff,48.000000,42.100000,97.000000,A,9.000000,Aubrey,76.000000,231.000000,30.190000
Stern,44.000000,39.700000,40.000000,D,10.000000,Adam,71.000000,180.000000,27.050000
Fiorentino,47.000000,37.300000,45.000000,C,11.000000,Jeff,73.000000,188.000000,23.880000
Bynum,45.000000,34.900000,77.000000,B,12.000000,Freddie,73.000000,180.000000,26.960000
Markakis,50.000000,32.500000,90.000000,B,13.000000,Nick,74.000000,185.000000,23.290000
Fahey,40.000000,30.100000,4.000000,F,14.000000,Brandon,74.000000,160.000000,26.110000
Patterson,30.000000,27.700000,40.000000,C,15.000000,Corey,69.000000,180.000000,27.550000
Payton,39.000000,25.300000,51.090909,B,16.000000,Jay,70.000000,185.000000,34.270000
Gibbons,38.109091,22.900000,50.951049,C,17.000000,Jay,72.000000,197.000000,30.000000
Bedard,37.218182,20.500000,50.811189,C,18.000000,Erik,73.000000,189.000000,27.990000
Penn,36.327273,18.100000,50.671329,F,19.000000,Hayden,75.000000,185.000000,22.380000
Loewen,35.436364,15.700000,50.531469,B,20.000000,Adam,78.000000,219.000000,22.890000
Cabrera,34.545455,13.300000,50.391608,A,21.000000,Daniel,79.000000,230.000000,25.760000
Trachsel,33.654545,10.900000,50.251748,D,22.000000,Steve,76.000000,205.000000,36.330000
Wright,32.763636,8.500000,50.111888,C,23.000000,Jaret,74.000000,230.000000,31.170000
Benson,31.872727,6.100000,49.972028,B,24.000000,Kris,76.000000,195.000000,32.310000
Williamson,30.981818,3.700000,49.832168,B,25.000000,Scott,72.000000,180.000000,31.030000
Parrish,30.090909,1.300000,49.692308,F,26.000000,John,71.000000,192.000000,29.260000
Baez,29.200000,44.500000,49.552448,C,27.000000,Danys,75.000000,225.000000,29.470000
Bradford,28.309091,42.100000,49.412587,B,28.000000,Chad,77.000000,203.000000,32.460000
Walker,27.418182,39.700000,49.272727,C,29.000000,Jamie,74.000000,195.000000,35.670000
Burres,26.527273,37.300000,49.132867,C,30.000000,Brian,73.000000,182.000000,25.890000
Birkins,25.636364,34.900000,48.993007,F,31.000000,Kurt,74.000000,188.000000,26.550000
Hoey,24.745455,32.500000,48.853147,B,32.000000,James,78.000000,200.000000,24.170000
Rleal,23.854545,30.100000,48.713287,C,33.000000,Sendy,73.000000,180.000000,26.690000
Ray,22.963636,44.500000,48.573427,C,34.000000,Chris,75.000000,200.000000,25.130000
Guthrie,22.072727,42.100000,48.433566,F,35.000000,Jeremy,73.000000,200.000000,27.900000
Pierzynski,21.181818,39.700000,48.293706,B,36.000000,AJ,75.000000,245.000000,30.170000
Hall,20.290909,37.300000,48.153846,A,37.000000,Toby,75.000000,240.000000,31.360000
Konerko,19.400000,34.900000,48.013986,D,38.000000,Paul,74.000000,215.000000,30.990000
Iguchi,18.509091,32.500000,47.874126,C,39.000000,Tadahito,69.000000,185.000000,32.240000
Uribe,17.618182,30.100000,47.734266,B,40.000000,Juan,71.000000,175.000000,27.610000
Cintron,16.727273,44.500000,47.594406,B,41.000000,Alex,74.000000,199.000000,28.200000
Crede,15.836364,42.100000,47.454545,F,42.000000,Joe,73.000000,200.000000,28.850000
Fields,14.945455,39.700000,47.314685,C,43.000000,Josh,73.000000,215.000000,24.210000
Sweeney,14.054545,40.300000,47.174825,B,44.000000,Ryan,76.000000,200.000000,22.020000
Anderson,13.163636,40.900000,47.034965,C,45.000000,Brian,74.000000,205.000000,24.970000
Terrero,12.272727,41.500000,46.895105,C,46.000000,Luis,74.000000,206.000000,26.780000
Ozuna,11.381818,42.100000,46.755245,F,47.000000,Pablo,70.000000,186.000000,32.510000
Podsednik,10.490909,42.700000,46.615385,B,48.000000,Scott,72.000000,188.000000,30.950000
Dye,9.600000,43.300000,46.475524,A,49.000000,Jermaine,77.000000,220.000000,33.090000
Erstad,8.709091,43.900000,46.335664,D,50.000000,Darin,74.000000,210.000000,32.740000
Mackowiak,7.818182,44.500000,46.195804,C,51.000000,Rob,70.000000,195.000000,30.690000
Thome,6.927273,45.100000,46.055944,B,52.000000,Jim,76.000000,244.000000,36.510000
Owens,6.036364,45.700000,45.916084,B,53.000000,Jerry,75.000000,195.000000,26.030000
Haeger,5.145455,46.300000,45.776224,F,54.000000,Charlie,73.000000,200.000000,23.450000
Phillips,4.254545,46.900000,45.636364,C,55.000000,Heath,75.000000,200.000000,24.940000
Floyd,3.363636,47.500000,45.496504,B,56.000000,Gavin,76.000000,212.000000,24.090000
Contreras,2.472727,48.100000,45.356643,C,57.000000,Jose,76.000000,224.000000,35.230000
Garland,1.581818,48.700000,45.216783,C,58.000000,Jon,78.000000,210.000000,27.430000
Vazquez,0.690909,49.300000,45.076923,F,59.000000,Javier,74.000000,205.000000,30.600000
Buehrle,17.618182,49.900000,44.937063,B,60.000000,Mark,74.000000,220.000000,27.940000
MacDougal,16.727273,50.500000,44.797203,C,61.000000,Mike,76.000000,195.000000,29.990000
Aardsma,15.836364,51.100000,44.657343,C,62.000000,David,77.000000,200.000000,25.170000
Sisco,14.945455,51.700000,44.517483,F,63.000000,Andrew,81.000000,260.000000,24.130000
Thornton,14.054545,52.300000,44.377622,B,64.000000,Matt,78.000000,228.000000,30.460000
Jenks,13.163636,52.900000,44.237762,A,65.000000,Bobby,75.000000,270.000000,25.960000
Logan,12.272727,53.500000,44.097902,D,66.000000,Boone,77.000000,200.000000,22.550000
Tracey,11.381818,54.100000,43.958042,C,67.000000,Sean,75.000000,210.000000,26.290000
Masset,10.490909,54.700000,43.818182,B,68.000000,Nick,76.000000,190.000000,24.790000
Molina,9.600000,55.300000,43.678322,B,69.000000,Jose,74.000000,220.000000,31.740000
Mathis,8.709091,55.900000,43.538462,F,70.000000,Jeff,72.000000,180.000000,23.920000
Napoli,7.818182,56.500000,43.398601,C,71.000000,Mike,72.000000,205.000000,25.330000
Kotchman,6.927273,57.100000,43.258741,B,72.000000,Casey,75.000000,210.000000,24.020000
