id,First_Name,Last_Name,Height,Weight,Age,Test1,Test2,Final,Grade
17.000000,Jay,Gibbons,72.000000,197.000000,30.000000,38.109091,22.900000,50.951049,C
36.000000,AJ,Pierzynski,75.000000,245.000000,30.170000,21.181818,39.700000,48.293706,B
9.000000,Aubrey,Huff,76.000000,231.000000,30.190000,48.000000,42.100000,97.000000,A
64.000000,Matt,Thornton,78.000000,228.000000,30.460000,14.054545,52.300000,44.377622,B
59.000000,Javier,Vazquez,74.000000,205.000000,30.600000,0.690909,49.300000,45.076923,F
51.000000,Rob,Mackowiak,70.000000,195.000000,30.690000,7.818182,44.500000,46.195804,C
7.000000,Miguel,Tejada,69.000000,209.000000,30.770000,45.000000,11.000000,43.000000,F
3.000000,Ramon,Hernandez,72.000000,210.000000,30.780000,41.000000,80.000000,44.000000,C
48.000000,Scott,Podsednik,72.000000,188.000000,30.950000,10.490909,42.700000,46.615385,B
38.000000,Paul,Konerko,74.000000,215.000000,30.990000,19.400000,34.900000,48.013986,D
25.000000,Scott,Williamson,72.000000,180.000000,31.030000,30.981818,3.700000,49.832168,B
23.000000,Jaret,Wright,74.000000,230.000000,31.170000,32.763636,8.500000,50.111888,C
37.000000,Toby,Hall,75.000000,240.000000,31.360000,20.290909,37.300000,48.153846,A
69.000000,Jose,Molina,74.000000,220.000000,31.740000,9.600000,55.300000,43.678322,B
73.000000,Molina,Jose,74.000000,220.000000,31.740000,9.800000,55.300000,43.678322,A
39.000000,Tadahito,Iguchi,69.000000,185.000000,32.240000,18.509091,32.500000,47.874126,C
24.000000,Kris,Benson,76.000000,195.000000,32.310000,31.872727,6.100000,49.972028,B
28.000000,Chad,Bradford,77.000000,203.000000,32.460000,28.309091,42.100000,49.412587,B
47.000000,Pablo,Ozuna,70.000000,186.000000,32.510000,11.381818,42.100000,46.755245,F
50.000000,Darin,Erstad,74.000000,210.000000,32.740000,8.709091,43.900000,46.335664,D
49.000000,Jermaine,Dye,77.000000,220.000000,33.090000,9.600000,43.300000,46.475524,A
16.000000,Jay,Payton,70.000000,185.000000,34.270000,39.000000,25.300000,51.090909,B
2.000000,Paul,Bako,74.000000,215.000000,34.690000,41.000000,97.000000,48.000000,D
8.000000,Melvin,Mora,71.000000,200.000000,35.070000,46.000000,44.500000,50.000000,B
57.000000,Jose,Contreras,76.000000,224.000000,35.230000,2.472727,48.100000,45.356643,C
4.000000,Kevin,Millar,72.000000,210.000000,35.430000,42.000000,23.000000,47.000000,B
29.000000,Jamie,Walker,74.000000,195.000000,35.670000,27.418182,39.700000,49.272727,C
5.000000,Chris,Gomez,73.000000,188.000000,35.710000,43.000000,78.000000,45.000000,C
22.000000,Steve,Trachsel,76.000000,205.000000,36.330000,33.654545,10.900000,50.251748,D
52.000000,Jim,Thome,76.000000,244.000000,36.510000,6.927273,45.100000,46.055944,B
